"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","15167","Failed login with invalid credentials","","Fri Feb 27 21:26:42 UTC 2026","passed","Fri Feb 27 21:26:57 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1647","Failed login with invalid credentials","","Fri Feb 27 21:26:57 UTC 2026","passed","Fri Feb 27 21:26:59 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","15304","Failed login with invalid credentials","","Fri Feb 27 21:26:42 UTC 2026","passed","Fri Feb 27 21:26:57 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","15183","Failed login with invalid credentials","","Fri Feb 27 21:26:42 UTC 2026","passed","Fri Feb 27 21:26:57 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","15301","Successful login with valid credentials","","Fri Feb 27 21:26:42 UTC 2026","passed","Fri Feb 27 21:26:57 UTC 2026","","Login Flow Challenge","Successful login with valid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1583","Failed login with invalid credentials","","Fri Feb 27 21:26:57 UTC 2026","passed","Fri Feb 27 21:26:59 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
