"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","14832","Failed login with invalid credentials","","Mon Jan 12 21:18:20 UTC 2026","passed","Mon Jan 12 21:18:34 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1782","Failed login with invalid credentials","","Mon Jan 12 21:18:34 UTC 2026","passed","Mon Jan 12 21:18:36 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","15020","Failed login with invalid credentials","","Mon Jan 12 21:18:20 UTC 2026","passed","Mon Jan 12 21:18:35 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","14849","Failed login with invalid credentials","","Mon Jan 12 21:18:19 UTC 2026","passed","Mon Jan 12 21:18:34 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1583","Failed login with invalid credentials","","Mon Jan 12 21:18:34 UTC 2026","passed","Mon Jan 12 21:18:36 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","14944","Successful login with valid credentials","","Mon Jan 12 21:18:20 UTC 2026","passed","Mon Jan 12 21:18:34 UTC 2026","","Login Flow Challenge","Successful login with valid credentials",""
