"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1528","Failed login with invalid credentials","","Fri Mar 27 09:59:09 UTC 2026","passed","Fri Mar 27 09:59:11 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","8067","Failed login with invalid credentials","","Fri Mar 27 09:59:01 UTC 2026","passed","Fri Mar 27 09:59:10 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1450","Failed login with invalid credentials","","Fri Mar 27 09:59:09 UTC 2026","passed","Fri Mar 27 09:59:11 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","7994","Successful login with valid credentials","","Fri Mar 27 09:59:01 UTC 2026","passed","Fri Mar 27 09:59:09 UTC 2026","","Login Flow Challenge","Successful login with valid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","8134","Failed login with invalid credentials","","Fri Mar 27 09:59:01 UTC 2026","passed","Fri Mar 27 09:59:10 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","7916","Failed login with invalid credentials","","Fri Mar 27 09:59:01 UTC 2026","passed","Fri Mar 27 09:59:09 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
