"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9538","Open Google","","Mon Dec 08 23:23:10 UTC 2025","passed","Mon Dec 08 23:23:20 UTC 2025","","Navigation tests","Open Google",""
"","13608","Coureses are precented to potential customers","","Mon Dec 08 23:23:10 UTC 2025","passed","Mon Dec 08 23:23:24 UTC 2025","","Navigation bar","Coureses are precented to potential customers",""
"","1900","Open DuckDuckGo","","Mon Dec 08 23:23:21 UTC 2025","passed","Mon Dec 08 23:23:23 UTC 2025","","Navigation tests","Open DuckDuckGo",""
"","14","","","Mon Dec 08 23:23:10 UTC 2025","passed","Mon Dec 08 23:23:10 UTC 2025","","Navigation bar","",""
"","1152","Open Bing","","Mon Dec 08 23:23:20 UTC 2025","passed","Mon Dec 08 23:23:21 UTC 2025","","Navigation tests","Open Bing",""
"","11530","Open YouTube","","Mon Dec 08 23:23:10 UTC 2025","passed","Mon Dec 08 23:23:22 UTC 2025","","Navigation tests","Open YouTube",""
