"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","15304","Failed login with invalid credentials","","Mon Mar 23 16:02:37 UTC 2026","passed","Mon Mar 23 16:02:52 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","15106","Failed login with invalid credentials","","Mon Mar 23 16:02:37 UTC 2026","passed","Mon Mar 23 16:02:52 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1656","Failed login with invalid credentials","","Mon Mar 23 16:02:52 UTC 2026","passed","Mon Mar 23 16:02:54 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","15151","Failed login with invalid credentials","","Mon Mar 23 16:02:37 UTC 2026","passed","Mon Mar 23 16:02:52 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","15299","Successful login with valid credentials","","Mon Mar 23 16:02:37 UTC 2026","passed","Mon Mar 23 16:02:52 UTC 2026","","Login Flow Challenge","Successful login with valid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1622","Failed login with invalid credentials","","Mon Mar 23 16:02:52 UTC 2026","passed","Mon Mar 23 16:02:54 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
