"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1656","Failed login with invalid credentials","","Tue Jan 13 21:18:47 UTC 2026","passed","Tue Jan 13 21:18:48 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","4789","Failed login with invalid credentials","","Tue Jan 13 21:18:42 UTC 2026","passed","Tue Jan 13 21:18:47 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","4808","Failed login with invalid credentials","","Tue Jan 13 21:18:42 UTC 2026","passed","Tue Jan 13 21:18:47 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","4806","Failed login with invalid credentials","","Tue Jan 13 21:18:42 UTC 2026","passed","Tue Jan 13 21:18:47 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","4845","Successful login with valid credentials","","Tue Jan 13 21:18:42 UTC 2026","passed","Tue Jan 13 21:18:47 UTC 2026","","Login Flow Challenge","Successful login with valid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1434","Failed login with invalid credentials","","Tue Jan 13 21:18:47 UTC 2026","passed","Tue Jan 13 21:18:48 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
