"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","5168","Failed login with invalid credentials","","Mon Feb 16 10:01:04 UTC 2026","passed","Mon Feb 16 10:01:09 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1670","Failed login with invalid credentials","","Mon Feb 16 10:01:09 UTC 2026","passed","Mon Feb 16 10:01:11 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","5097","Successful login with valid credentials","","Mon Feb 16 10:01:04 UTC 2026","passed","Mon Feb 16 10:01:09 UTC 2026","","Login Flow Challenge","Successful login with valid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","5160","Failed login with invalid credentials","","Mon Feb 16 10:01:04 UTC 2026","passed","Mon Feb 16 10:01:09 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","5070","Failed login with invalid credentials","","Mon Feb 16 10:01:04 UTC 2026","passed","Mon Feb 16 10:01:09 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1755","Failed login with invalid credentials","","Mon Feb 16 10:01:09 UTC 2026","passed","Mon Feb 16 10:01:11 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
