"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","13521","Failed login with invalid credentials","","Fri Feb 20 09:50:14 UTC 2026","passed","Fri Feb 20 09:50:27 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1385","Failed login with invalid credentials","","Fri Feb 20 09:50:27 UTC 2026","passed","Fri Feb 20 09:50:29 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","13386","Failed login with invalid credentials","","Fri Feb 20 09:50:14 UTC 2026","passed","Fri Feb 20 09:50:27 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","13518","Successful login with valid credentials","","Fri Feb 20 09:50:14 UTC 2026","passed","Fri Feb 20 09:50:27 UTC 2026","","Login Flow Challenge","Successful login with valid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1500","Failed login with invalid credentials","","Fri Feb 20 09:50:27 UTC 2026","passed","Fri Feb 20 09:50:29 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","13526","Failed login with invalid credentials","","Fri Feb 20 09:50:14 UTC 2026","passed","Fri Feb 20 09:50:27 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
