"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14424","Open Bing","","Thu Nov 27 15:40:47 UTC 2025","passed","Thu Nov 27 15:41:02 UTC 2025","","Navigation tests","Open Bing",""
"","17","","","Thu Nov 27 15:40:47 UTC 2025","passed","Thu Nov 27 15:40:47 UTC 2025","","Navigation bar","",""
"","14913","Open Google","","Thu Nov 27 15:40:47 UTC 2025","passed","Thu Nov 27 15:41:02 UTC 2025","","Navigation tests","Open Google",""
"","16780","Open YouTube","","Thu Nov 27 15:40:47 UTC 2025","passed","Thu Nov 27 15:41:04 UTC 2025","","Navigation tests","Open YouTube",""
"","17750","Coureses are precented to potential customers","","Thu Nov 27 15:40:47 UTC 2025","passed","Thu Nov 27 15:41:05 UTC 2025","","Navigation bar","Coureses are precented to potential customers",""
"","11837","Open DuckDuckGo","","Thu Nov 27 15:40:50 UTC 2025","passed","Thu Nov 27 15:41:02 UTC 2025","","Navigation tests","Open DuckDuckGo",""
