"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","16220","Successful login with valid credentials","","Thu Mar 26 16:13:49 UTC 2026","passed","Thu Mar 26 16:14:05 UTC 2026","","Login Flow Challenge","Successful login with valid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","16386","Failed login with invalid credentials","","Thu Mar 26 16:13:49 UTC 2026","passed","Thu Mar 26 16:14:05 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1726","Failed login with invalid credentials","","Thu Mar 26 16:14:05 UTC 2026","passed","Thu Mar 26 16:14:07 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","16316","Failed login with invalid credentials","","Thu Mar 26 16:13:49 UTC 2026","passed","Thu Mar 26 16:14:05 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","16203","Failed login with invalid credentials","","Thu Mar 26 16:13:49 UTC 2026","passed","Thu Mar 26 16:14:05 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1801","Failed login with invalid credentials","","Thu Mar 26 16:14:05 UTC 2026","passed","Thu Mar 26 16:14:07 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
