"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1432","Failed login with invalid credentials","","Sat Jan 17 21:15:44 UTC 2026","passed","Sat Jan 17 21:15:46 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","16748","Failed login with invalid credentials","","Sat Jan 17 21:15:28 UTC 2026","passed","Sat Jan 17 21:15:44 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1444","Failed login with invalid credentials","","Sat Jan 17 21:15:44 UTC 2026","passed","Sat Jan 17 21:15:46 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","16738","Failed login with invalid credentials","","Sat Jan 17 21:15:28 UTC 2026","passed","Sat Jan 17 21:15:44 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","16767","Successful login with valid credentials","","Sat Jan 17 21:15:28 UTC 2026","passed","Sat Jan 17 21:15:44 UTC 2026","","Login Flow Challenge","Successful login with valid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","16743","Failed login with invalid credentials","","Sat Jan 17 21:15:28 UTC 2026","passed","Sat Jan 17 21:15:44 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
