"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","5851","Failed login with invalid credentials","","Tue Mar 03 15:50:51 UTC 2026","passed","Tue Mar 03 15:50:57 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","5891","Failed login with invalid credentials","","Tue Mar 03 15:50:51 UTC 2026","passed","Tue Mar 03 15:50:57 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","6028","Successful login with valid credentials","","Tue Mar 03 15:50:51 UTC 2026","passed","Tue Mar 03 15:50:57 UTC 2026","","Login Flow Challenge","Successful login with valid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1687","Failed login with invalid credentials","","Tue Mar 03 15:50:57 UTC 2026","passed","Tue Mar 03 15:50:58 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1712","Failed login with invalid credentials","","Tue Mar 03 15:50:57 UTC 2026","passed","Tue Mar 03 15:50:58 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","5865","Failed login with invalid credentials","","Tue Mar 03 15:50:51 UTC 2026","passed","Tue Mar 03 15:50:57 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
