"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","17704","Failed login with invalid credentials","","Mon Jan 05 15:28:44 UTC 2026","passed","Mon Jan 05 15:29:02 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","17816","Failed login with invalid credentials","","Mon Jan 05 15:28:44 UTC 2026","passed","Mon Jan 05 15:29:02 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1519","Failed login with invalid credentials","","Mon Jan 05 15:29:02 UTC 2026","passed","Mon Jan 05 15:29:03 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","17790","Successful login with valid credentials","","Mon Jan 05 15:28:44 UTC 2026","passed","Mon Jan 05 15:29:02 UTC 2026","","Login Flow Challenge","Successful login with valid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1531","Failed login with invalid credentials","","Mon Jan 05 15:29:02 UTC 2026","passed","Mon Jan 05 15:29:03 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","17688","Failed login with invalid credentials","","Mon Jan 05 15:28:44 UTC 2026","passed","Mon Jan 05 15:29:02 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
