"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1394","Failed login with invalid credentials","","Mon Mar 23 10:08:12 UTC 2026","passed","Mon Mar 23 10:08:13 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","22414","Failed login with invalid credentials","","Mon Mar 23 10:07:49 UTC 2026","passed","Mon Mar 23 10:08:12 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","22441","Failed login with invalid credentials","","Mon Mar 23 10:07:49 UTC 2026","passed","Mon Mar 23 10:08:12 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1491","Failed login with invalid credentials","","Mon Mar 23 10:08:12 UTC 2026","passed","Mon Mar 23 10:08:13 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","22400","Failed login with invalid credentials","","Mon Mar 23 10:07:49 UTC 2026","passed","Mon Mar 23 10:08:12 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","22445","Successful login with valid credentials","","Mon Mar 23 10:07:49 UTC 2026","passed","Mon Mar 23 10:08:12 UTC 2026","","Login Flow Challenge","Successful login with valid credentials",""
