"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","14083","Failed login with invalid credentials","","Sun Mar 22 21:23:09 UTC 2026","passed","Sun Mar 22 21:23:23 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","14170","Failed login with invalid credentials","","Sun Mar 22 21:23:09 UTC 2026","passed","Sun Mar 22 21:23:24 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","14137","Failed login with invalid credentials","","Sun Mar 22 21:23:09 UTC 2026","passed","Sun Mar 22 21:23:24 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1517","Failed login with invalid credentials","","Sun Mar 22 21:23:24 UTC 2026","passed","Sun Mar 22 21:23:25 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1553","Failed login with invalid credentials","","Sun Mar 22 21:23:24 UTC 2026","passed","Sun Mar 22 21:23:25 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","14218","Successful login with valid credentials","","Sun Mar 22 21:23:09 UTC 2026","passed","Sun Mar 22 21:23:24 UTC 2026","","Login Flow Challenge","Successful login with valid credentials",""
