"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","13446","Failed login with invalid credentials","","Fri Jan 30 09:46:04 UTC 2026","passed","Fri Jan 30 09:46:17 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1604","Failed login with invalid credentials","","Fri Jan 30 09:46:17 UTC 2026","passed","Fri Jan 30 09:46:19 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","1541","Failed login with invalid credentials","","Fri Jan 30 09:46:17 UTC 2026","passed","Fri Jan 30 09:46:19 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","13634","Failed login with invalid credentials","","Fri Jan 30 09:46:04 UTC 2026","passed","Fri Jan 30 09:46:17 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","13625","Successful login with valid credentials","","Fri Jan 30 09:46:04 UTC 2026","passed","Fri Jan 30 09:46:17 UTC 2026","","Login Flow Challenge","Successful login with valid credentials",""
"  As a registered user
  I want to authenticate into the application
  So that I can access my secure account dashboard","13460","Failed login with invalid credentials","","Fri Jan 30 09:46:04 UTC 2026","passed","Fri Jan 30 09:46:17 UTC 2026","","Login Flow Challenge","Failed login with invalid credentials",""
